,PostalCode,Borough,Neighborhood
88,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto"
89,M9V,Etobicoke,"Albion Gardens, Mount Olive, South Steeles, Silverstone, Humbergate, Beaumond Heights, Thistletown, Jamestown"
90,M1W,Scarborough,L'Amoreaux West
91,M4W,Downtown Toronto,Rosedale
92,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
93,M8W,Etobicoke,"Alderwood, Long Branch"
94,M9W,Etobicoke,Northwest
95,M1X,Scarborough,Upper Rouge
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
97,M5X,Downtown Toronto,"First Canadian Place, Underground city"
98,M8X,Etobicoke,"Montgomery Road, The Kingsway, Old Mill North"
99,M4Y,Downtown Toronto,Church and Wellesley
100,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
101,M8Y,Etobicoke,"Royal York South East, Old Mill South, Mimico NE, King's Mill Park, Humber Bay, Kingsway Park South East, The Queensway East, Sunnylea"
102,M8Z,Etobicoke,"Royal York South West, South of Bloor, Mimico NW, The Queensway West, Kingsway Park South West"
